Tenant,Application Profile,Consumer Contract,Provier Contract,EPG Name,BD Name,BD GW IP,VRF Name
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,485-CLUSTER-SQL-INFRASTRUCTURE-epg,485-CLUSTER-SQL-INFRASTRUCTURE-bd,10.14.116.1/24,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,487-DC-CLUSTERING-INFRASTRUCTURE-epg,487-DC-CLUSTERING-INFRASTRUCTURE-bd,10.14.117.1/24,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,488-DCJQ-BACKUP-SERVERS-epg,488-DCJQ-BACKUP-SERVERS-bd,10.14.117.129/27,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,489-DCIX-BACKUP-SERVERS-epg,489-DCIX-BACKUP-SERVERS-bd,10.14.117.161/27,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,490-DC-CLUSTER-LIVE-MIGRATION2-epg,490-DC-CLUSTER-LIVE-MIGRATION2-bd,10.14.127.129/25,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,495-DCJQ-OOB-NETWORK-epg,495-DCJQ-OOB-NETWORK-bd,10.14.4.65/27,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,496-DCIX-OOB-NETWORK-epg,496-DCIX-OOB-NETWORK-bd,10.14.4.97/27,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,497-ACI-OOB-epg,497-ACI-OOB-bd,10.14.0.1/25,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,498-EN-COMMVAULT-epg,498-EN-COMMVAULT-bd,10.14.4.193/26,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,990-TRAFIC-GEN-EVEN-epg,990-TRAFIC-GEN-EVEN-bd,,FTA-vrf
AGIDC,ap1,ALLSERVICES-ctr,ALLSERVICES-ctr,991-TRAFIC-GEN-ODDEXIT-epg,991-TRAFIC-GEN-ODDEXIT-bd,,FTA-vrf
